ID,Name,Link,Image,Price,Category,,,,,,,Category
13377379,"Alienware M15 - 15"" - FHD - NVIDIA GTX 1060 - i7-8750H - 16GB - 256GB SSD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1060-i7-8750h-16gb-256gb-ssd-win10-home-certified-refurbished/13377379.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13377/13377379.jpg,"$1,699.00 ",Gaming Laptops,,,,,,,
13377387,"Alienware M15 - 15"" - FHD - NVIDIA GTX 1060 - i7-8750H - 32GB - 256GB SSD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1060-i7-8750h-32gb-256gb-ssd-win10-home-certified-refurbished/13377387.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13377/13377387.jpg,"$1,859.00 ",Gaming Laptops,,,,,,,
13339449,"Alienware 13 R3 - 13"" - QHD Touch - NVIDIA 1060 - i7-7700HQ - 32GB - 512GB SSD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-13-r3-13-qhd-touch-nvidia-1060-i7-7700hq-32gb-512gb-ssd-win10-home-certified-refurbished/13339449.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13339/13339449.jpg,"$1,999.00 ",Gaming Laptops,,,,,,,
13377389,"Alienware M15 - 15"" - FHD - NVIDIA GTX 1070 - i7-8750H - 32GB - 2x 512GB SSD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1070-i7-8750h-32gb-2x-512gb-ssd-win10-home-certified-refurbished/13377389.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13377/13377389.jpg,"$2,599.00 ",Gaming Laptops,,,,,,,
13461077,"Alienware M15 - 15"" FHD - NVIDIA GTX 1070 - i7-8750H - 16GB - 256GB SSD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1070-i7-8750h-16gb-256gb-ssd-win10-home-certified-refurbished/13461077.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13461/13461077.jpg,"$1,949.00 ",Gaming Laptops,,,,,,,
13016139,"Alienware 15.6"" Gaming Laptop (Intel Core i7/1TB HDD/256GB SSD/16GB RAM/GTX 1060) - En - Open Box",https://www.bestbuy.ca/en-ca/product/alienware-15-6-gaming-laptop-intel-core-i7-1tb-hdd-256gb-ssd-16gb-ram-gtx-1060-en-open-box/13016139.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/130/13016/13016139.jpg,"$2,399.99 ",Gaming Laptops,,,,,,,
13377385,"Alienware M15 - 15"" - FHD - NVIDIA GTX 1070 - i7-8750H - 32GB -1TB SSHD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1070-i7-8750h-32gb-1tb-sshd-win10-home-certified-refurbished/13377385.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13377/13377385.jpg,"$2,299.00 ",Gaming Laptops,,,,,,,
13461072,"Alienware M15 - 15"" FHD - NVIDIA GTX 1060 - i7-8750H - 16GB - 512GB SSD + 1TB HD -WIN10 HOME -Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1060-i7-8750h-16gb-512gb-ssd-1tb-hd-win10-home-certified-refurbished/13461072.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13461/13461072.jpg,"$1,849.00 ",Gaming Laptops,,,,,,,
13459966,"Alienware 15 R3 - 15"" - FHD - NVIDIA 1070 - i7-7700HQ - 32GB - 1TB SSD + 1TB HD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-15-r3-15-fhd-nvidia-1070-i7-7700hq-32gb-1tb-ssd-1tb-hd-win10-home-certified-refurbished/13459966.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/134/13459/13459966.jpg,"$2,199.00 ",Gaming Laptops,,,,,,,
13377383,"Alienware M15 - 15"" - FHD - NVIDIA GTX 1070 - i7-8750H - 16GB - 2x 512GB SSD - WIN10 HOME - Certified Refurbished",https://www.bestbuy.ca/en-ca/product/alienware-m15-15-fhd-nvidia-gtx-1070-i7-8750h-16gb-2x-512gb-ssd-win10-home-certified-refurbished/13377383.aspx?,https://multimedia.bbycastatic.ca/multimedia/products/150x150/133/13377/13377383.jpg,"$2,499.00 ",Gaming Laptops,,,,,,,
